h,k,l,multiplicity,d_spacing,2theta,sigma_squared,gamma,F_obs_squared,F_calc_squared,phase,I_corr,Prfo,Trans,ExtP
2.00000000,0.00000000,-4.00000000,2.00000000,1.26107797,7.57026140,2.39223679,2.82939524,6778.40990507,7216.59629827,0.00000000,0.00830565,1.00000000,1.00000000,1.00000000
0.00000000,6.00000000,2.00000000,4.00000000,1.24812808,7.64892254,2.41790818,2.85585632,7419.67518516,6969.84292374,0.00000000,0.01627258,1.00000000,1.00000000,1.00000000
3.00000000,3.00000000,1.00000000,4.00000000,1.24528460,7.66641417,2.42365256,2.86174074,7229.45009262,6812.40979956,180.00000000,0.01619867,1.00000000,1.00000000,1.00000000
1.00000000,1.00000000,-4.00000000,4.00000000,1.25446334,7.61023708,2.40525000,2.84284247,8138.58089745,8141.84035376,180.00000000,0.01643785,1.00000000,1.00000000,1.00000000
1.00000000,3.00000000,3.00000000,4.00000000,1.24165640,7.68884955,2.43103963,2.86928848,7179.29888638,7019.41109214,180.00000000,0.01610461,1.00000000,1.00000000,1.00000000
3.00000000,5.00000000,-1.00000000,4.00000000,1.22550981,7.79030862,2.46471453,2.90342411,8965.75808810,8405.03776724,-180.00000000,0.01568935,1.00000000,1.00000000,1.00000000
4.00000000,2.00000000,-1.00000000,4.00000000,1.22423534,7.79843113,2.46742946,2.90615710,9167.27463059,8541.56840558,0.00000000,0.01565680,1.00000000,1.00000000,1.00000000
1.00000000,5.00000000,-3.00000000,4.00000000,1.22205125,7.81239035,2.47210188,2.91085403,8694.67173073,8234.63491108,180.00000000,0.01560111,1.00000000,1.00000000,1.00000000
1.00000000,7.00000000,0.00000000,4.00000000,1.21452569,7.86087407,2.48839501,2.92716823,7594.40362218,7643.20073300,-180.00000000,0.01540996,1.00000000,1.00000000,1.00000000
2.00000000,4.00000000,2.00000000,4.00000000,1.21179745,7.87859990,2.49437693,2.93313302,6706.41266007,6805.34439660,0.00000000,0.01534096,1.00000000,1.00000000,1.00000000
4.00000000,2.00000000,-2.00000000,4.00000000,1.21721856,7.84345605,2.48253006,2.92130716,7121.06252214,7172.74363927,0.00000000,0.01547822,1.00000000,1.00000000,1.00000000
1.00000000,7.00000000,-1.00000000,4.00000000,1.20311925,7.93551959,2.51367638,2.95228754,9180.31654097,8773.49312118,180.00000000,0.01512250,1.00000000,1.00000000,1.00000000
2.00000000,2.00000000,-4.00000000,4.00000000,1.21214560,7.87633347,2.49361133,2.93237035,7229.76795716,7318.90753944,0.00000000,0.01534976,1.00000000,1.00000000,1.00000000
2.00000000,6.00000000,-2.00000000,4.00000000,1.20238161,7.94039575,2.51533616,2.95392852,22447.21973470,21402.51543527,0.00000000,0.01510400,1.00000000,1.00000000,1.00000000
4.00000000,0.00000000,0.00000000,2.00000000,1.19899482,7.96286097,2.52299613,2.96148891,21691.77348122,21673.72239470,0.00000000,0.00750961,1.00000000,1.00000000,1.00000000
0.00000000,0.00000000,4.00000000,2.00000000,1.19254198,8.00601808,2.53777200,2.97601350,20563.31229023,20779.14730865,0.00000000,0.00742918,1.00000000,1.00000000,1.00000000
3.00000000,5.00000000,-2.00000000,4.00000000,1.19133655,8.01413200,2.54055889,2.97874435,8091.45147022,8203.40931574,180.00000000,0.01482840,1.00000000,1.00000000,1.00000000
3.00000000,5.00000000,0.00000000,4.00000000,1.18263897,8.07316834,2.56092094,2.99861464,6306.63461587,6721.21079434,-180.00000000,0.01461316,1.00000000,1.00000000,1.00000000
4.00000000,0.00000000,-3.00000000,2.00000000,1.17953286,8.09446311,2.56830226,3.00578235,7772.96021807,8379.59138107,0.00000000,0.00726834,1.00000000,1.00000000,1.00000000
2.00000000,6.00000000,1.00000000,4.00000000,1.15775710,8.24696938,2.62173216,3.05712100,7587.33104970,8477.23282061,0.00000000,0.01400612,1.00000000,1.00000000,1.00000000
1.00000000,3.00000000,-4.00000000,4.00000000,1.16323215,8.20808621,2.60801503,3.04403066,10767.61010036,12447.38821298,180.00000000,0.01413859,1.00000000,1.00000000,1.00000000
4.00000000,2.00000000,0.00000000,4.00000000,1.15670590,8.25447710,2.62438818,3.05964861,6725.72545296,7396.52544392,0.00000000,0.01398076,1.00000000,1.00000000,1.00000000
1.00000000,7.00000000,1.00000000,4.00000000,1.15246546,8.28490197,2.63517635,3.06989197,5889.02407607,6048.98650254,180.00000000,0.01387869,1.00000000,1.00000000,1.00000000
2.00000000,0.00000000,3.00000000,2.00000000,1.15039883,8.29981147,2.64047750,3.07491181,11937.05052948,12180.51073960,0.00000000,0.00691454,1.00000000,1.00000000,1.00000000
3.00000000,1.00000000,-4.00000000,4.00000000,1.16642062,8.18561070,2.60011569,3.03646440,5317.34939404,6152.84748009,180.00000000,0.01421602,1.00000000,1.00000000,1.00000000
0.00000000,2.00000000,4.00000000,4.00000000,1.15090880,8.29612732,2.63916669,3.07367139,6994.04035386,7127.12956432,-0.00000000,0.01384131,1.00000000,1.00000000,1.00000000
3.00000000,1.00000000,2.00000000,4.00000000,1.14242171,8.35786867,2.66121077,3.09445987,7637.55371857,7509.45537069,-180.00000000,0.01363842,1.00000000,1.00000000,1.00000000
4.00000000,2.00000000,-3.00000000,4.00000000,1.13920207,8.38153199,2.66970280,3.10242783,6105.50546201,5841.70292203,0.00000000,0.01356184,1.00000000,1.00000000,1.00000000
1.00000000,7.00000000,-2.00000000,4.00000000,1.12390882,8.49578921,2.71104393,3.14090432,7705.52854395,6479.19670001,180.00000000,0.01320106,1.00000000,1.00000000,1.00000000
2.00000000,2.00000000,3.00000000,4.00000000,1.11289049,8.58005977,2.74189384,3.16928655,7915.20201044,6737.12854434,0.00000000,0.01294415,1.00000000,1.00000000,1.00000000
0.00000000,8.00000000,0.00000000,2.00000000,1.09851733,8.69253694,2.78354441,3.20717386,8916.44932497,8143.45269279,0.00000000,0.00630641,1.00000000,1.00000000,1.00000000
4.00000000,4.00000000,-1.00000000,4.00000000,1.10256935,8.66053013,2.77163694,3.19639194,8384.99776377,7764.15170869,0.00000000,0.01270579,1.00000000,1.00000000,1.00000000
4.00000000,4.00000000,-2.00000000,4.00000000,1.09743524,8.70112436,2.78674667,3.21006672,8308.53570751,7607.26655035,0.00000000,0.01258805,1.00000000,1.00000000,1.00000000
3.00000000,5.00000000,-3.00000000,4.00000000,1.09683517,8.70589390,2.78852659,3.21167346,6450.06389605,5931.14694473,180.00000000,0.01257432,1.00000000,1.00000000,1.00000000
2.00000000,4.00000000,-4.00000000,4.00000000,1.09371304,8.73079402,2.79783486,3.22006189,7868.13572310,7709.11921363,0.00000000,0.01250303,1.00000000,1.00000000,1.00000000
3.00000000,5.00000000,1.00000000,4.00000000,1.08336213,8.81437591,2.82927447,3.24822133,5107.56004967,5536.60787122,180.00000000,0.01226812,1.00000000,1.00000000,1.00000000
1.00000000,5.00000000,3.00000000,4.00000000,1.08097065,8.83391506,2.83666746,3.25480471,5171.67110607,5630.07541340,-180.00000000,0.01221417,1.00000000,1.00000000,1.00000000
3.00000000,3.00000000,-4.00000000,4.00000000,1.09200719,8.74445910,2.80295451,3.22466554,6723.35288551,6986.87876793,180.00000000,0.01246416,1.00000000,1.00000000,1.00000000
2.00000000,6.00000000,-3.00000000,4.00000000,1.08505498,8.80059702,2.82407084,3.24357888,9484.73889731,10464.11578335,0.00000000,0.01230639,1.00000000,1.00000000,1.00000000
4.00000000,0.00000000,1.00000000,2.00000000,1.07602550,8.87459471,2.85211196,3.26851161,9068.88628314,10121.82706168,0.00000000,0.00605149,1.00000000,1.00000000,1.00000000
0.00000000,6.00000000,3.00000000,4.00000000,1.07728984,8.86415839,2.84814291,3.26499504,6247.84214161,6975.54825075,0.00000000,0.01213136,1.00000000,1.00000000,1.00000000
3.00000000,3.00000000,2.00000000,4.00000000,1.07223974,8.90599138,2.86408069,3.27909117,6624.55577769,7012.49344523,180.00000000,0.01201820,1.00000000,1.00000000,1.00000000
0.00000000,8.00000000,1.00000000,4.00000000,1.07049813,8.92051001,2.86962966,3.28398359,6592.83467473,6760.06203690,-0.00000000,0.01197930,1.00000000,1.00000000,1.00000000
1.00000000,1.00000000,4.00000000,4.00000000,1.06376442,8.97709292,2.89134193,3.30305162,6931.75228399,6384.71577786,180.00000000,0.01182949,1.00000000,1.00000000,1.00000000
4.00000000,4.00000000,0.00000000,4.00000000,1.05246892,9.07363933,2.92870702,3.33559062,5949.78402950,5865.43432134,0.00000000,0.01158031,1.00000000,1.00000000,1.00000000
0.00000000,4.00000000,4.00000000,4.00000000,1.04809641,9.11157312,2.94349775,3.34837668,5600.45424528,5686.36073238,-0.00000000,0.01148457,1.00000000,1.00000000,1.00000000
1.00000000,7.00000000,2.00000000,4.00000000,1.04496815,9.13890778,2.95419416,3.35759061,5856.61026424,5918.39402736,180.00000000,0.01141631,1.00000000,1.00000000,1.00000000
4.00000000,2.00000000,1.00000000,4.00000000,1.04514469,9.13736077,2.95358794,3.35706914,5668.54595774,5729.09921118,0.00000000,0.01142016,1.00000000,1.00000000,1.00000000
4.00000000,0.00000000,-4.00000000,2.00000000,1.05277304,9.07101271,2.92768517,3.33470532,17617.00579852,17319.25265298,0.00000000,0.00579349,1.00000000,1.00000000,1.00000000
2.00000000,6.00000000,2.00000000,4.00000000,1.03144822,9.25895762,3.00155201,3.39806121,17993.55901575,16959.44761110,0.00000000,0.01112368,1.00000000,1.00000000,1.00000000
4.00000000,4.00000000,-3.00000000,4.00000000,1.03923209,9.18945827,2.97405995,3.37463107,5042.10644725,5290.98795735,0.00000000,0.01129169,1.00000000,1.00000000,1.00000000
1.00000000,5.00000000,-4.00000000,4.00000000,1.02803192,9.28979402,3.01381666,3.40845778,7388.64005439,6952.72550141,180.00000000,0.01105033,1.00000000,1.00000000,1.00000000
2.00000000,4.00000000,3.00000000,4.00000000,1.01914131,9.37101501,3.04631694,3.43584391,5565.39517184,5681.59304584,0.00000000,0.01086061,1.00000000,1.00000000,1.00000000
4.00000000,2.00000000,-4.00000000,4.00000000,1.02379842,9.32829302,3.02918647,3.42143848,5857.45964966,5962.36211320,0.00000000,0.01095979,1.00000000,1.00000000,1.00000000
2.00000000,0.00000000,-5.00000000,2.00000000,1.01941744,9.36847106,3.04529468,3.43498610,5747.32138612,5865.32640071,0.00000000,0.00543324,1.00000000,1.00000000,1.00000000
3.00000000,7.00000000,-1.00000000,4.00000000,1.01191502,9.43808658,3.07336966,3.45846165,5317.79530546,5232.40868573,180.00000000,0.01070761,1.00000000,1.00000000,1.00000000
5.00000000,1.00000000,-2.00000000,4.00000000,1.01781043,9.38329594,3.05125584,3.43998510,4914.43754381,5043.91379655,180.00000000,0.01083235,1.00000000,1.00000000,1.00000000
1.00000000,7.00000000,-3.00000000,4.00000000,1.00996534,9.45634764,3.08076868,3.46462001,5369.23894756,5157.71805346,180.00000000,0.01066652,1.00000000,1.00000000,1.00000000
