h,k,l,multiplicity,d_spacing,2theta,sigma_squared,gamma,F_obs_squared,F_calc_squared,phase,I_corr,Prfo,Trans,ExtP
1.00000000,1.00000000,3.00000000,4.00000000,1.35361630,7.05205129,1.83239153,2.42915066,9789.72202505,8605.10257588,180.00000000,0.01473431,1.00000000,1.00000000,1.00000000
2.00000000,4.00000000,-3.00000000,4.00000000,1.30717166,7.30294903,1.87989929,2.49616809,5165.94739218,5708.25929679,0.00000000,0.01374228,1.00000000,1.00000000,1.00000000
1.00000000,5.00000000,2.00000000,4.00000000,1.28437422,7.43275575,1.90511910,2.53084919,9805.68505242,12102.22504682,180.00000000,0.01326802,1.00000000,1.00000000,1.00000000
0.00000000,4.00000000,3.00000000,4.00000000,1.28881560,7.40710598,1.90010101,2.52399575,3690.82722197,3804.58058788,0.00000000,0.01335976,1.00000000,1.00000000,1.00000000
4.00000000,0.00000000,-1.00000000,2.00000000,1.28045078,7.45556268,1.90959535,2.53694322,4694.46860427,7954.86362192,0.00000000,0.00659362,1.00000000,1.00000000,1.00000000
2.00000000,6.00000000,-1.00000000,4.00000000,1.26938682,7.52063832,1.92244180,2.55433249,7922.92787131,8116.63237772,0.00000000,0.01296077,1.00000000,1.00000000,1.00000000
4.00000000,0.00000000,-2.00000000,2.00000000,1.27538300,7.48522975,1.91543824,2.54487056,6340.09522456,11202.44985436,0.00000000,0.00654163,1.00000000,1.00000000,1.00000000
3.00000000,3.00000000,-3.00000000,4.00000000,1.27417279,7.49234933,1.91684383,2.54677303,5320.66291822,8697.08532139,180.00000000,0.01305849,1.00000000,1.00000000,1.00000000
2.00000000,6.00000000,0.00000000,4.00000000,1.24991250,7.63798645,1.94588518,2.58569357,7978.32970040,6906.52098090,0.00000000,0.01256693,1.00000000,1.00000000,1.00000000
2.00000000,0.00000000,-4.00000000,2.00000000,1.26872368,7.52457488,1.92322244,2.55538445,11313.09764418,10901.07657021,0.00000000,0.00647363,1.00000000,1.00000000,1.00000000
0.00000000,6.00000000,2.00000000,4.00000000,1.24781191,7.65086351,1.94847949,2.58913523,7465.41830846,6709.03346944,0.00000000,0.01252481,1.00000000,1.00000000,1.00000000
3.00000000,3.00000000,1.00000000,4.00000000,1.24494101,7.66853317,1.95204636,2.59385792,6534.90462538,6364.11402928,180.00000000,0.01246737,1.00000000,1.00000000,1.00000000
1.00000000,1.00000000,-4.00000000,4.00000000,1.25890297,7.58335966,1.93492755,2.57109406,9994.72919815,8030.33724423,180.00000000,0.01274799,1.00000000,1.00000000,1.00000000
