h,k,l,d_spacing,2theta,F_calc_squared
5.0,2.0,1.0,0.7590589788773553,12.593193540342877,397.8042735199328
4.0,4.0,0.0,0.734955695995301,13.007948791433028,364.9634316045473
4.0,4.0,1.0,0.7237343393905185,13.21052574696958,284.74757997870165
5.0,2.0,2.0,0.7237343393905185,13.21052574696958,284.74757997870165
4.0,3.0,3.0,0.7130117564089338,13.410096455114173,335.5186792542691
5.0,3.0,0.0,0.7130117564089338,13.410096455114173,335.5186792542691
5.0,3.0,1.0,0.702752059557484,13.6067932286675,262.0163318830467
4.0,4.0,2.0,0.6929228753466082,13.800738985426495,309.04373526825805
6.0,0.0,0.0,0.6929228753466081,13.800738985426497,309.04373526825793
6.0,1.0,0.0,0.6834949139261921,13.992048156031634,241.59891256449043
5.0,3.0,2.0,0.6744416014364459,14.180827482060765,285.17872098504625
6.0,1.0,1.0,0.6744416014364458,14.180827482060767,285.17872098504625
6.0,2.0,0.0,0.6573643586784652,14.551189265405693,263.6131797493529
5.0,4.0,0.0,0.6492982328492967,14.73295270488879,206.60318695747378
4.0,4.0,3.0,0.6492982328492967,14.73295270488879,206.60318695747378
6.0,2.0,1.0,0.6492982328492967,14.73295270488879,206.60318695747378
5.0,4.0,1.0,0.64152192558808,14.912549310917964,244.08075967436102
5.0,3.0,3.0,0.6340184870466923,15.090056481621795,191.56671865719738
6.0,2.0,2.0,0.6267723235033377,15.265547135693359,226.3494720813253
6.0,3.0,0.0,0.6197690609758516,15.439090066963987,177.92065911755242
5.0,4.0,2.0,0.6197690609758516,15.439090066963987,177.92065911755242
6.0,3.0,1.0,0.612995425233479,15.61075026369413,210.2148573815432
4.0,4.0,4.0,0.6000888129135206,15.94866508049186,195.50534977442237
6.0,3.0,2.0,0.5939338931542356,16.11503310889009,154.18306761245435
7.0,0.0,0.0,0.5939338931542354,16.11503310889009,154.18306761245418
5.0,4.0,3.0,0.5879645567962409,16.279745670614727,182.064863595941
5.0,5.0,0.0,0.5879645567962408,16.27974567061473,182.06486359594098
7.0,1.0,0.0,0.5879645567962407,16.279745670614734,182.06486359594078
5.0,5.0,1.0,0.5821716612691672,16.442852544438445,143.8347710030526
7.0,1.0,1.0,0.582171661269167,16.44285254443845,143.8347710030525
6.0,4.0,0.0,0.5765466823855703,16.60440107763551,169.75929715889117
6.0,4.0,1.0,0.5710816615833435,16.764436348980936,134.3559046142717
7.0,2.0,0.0,0.5710816615833433,16.76443634898094,134.35590461427125
6.0,3.0,3.0,0.5657691585671145,16.92300131796722,158.47157042331196
5.0,5.0,2.0,0.5657691585671144,16.92300131796722,158.47157042331187
7.0,2.0,1.0,0.5657691585671143,16.923001317967223,158.47157042331182
6.0,4.0,2.0,0.5555742846439876,17.235882400263964,148.0984698554982
7.0,2.0,2.0,0.5506792616082782,17.390275012975792,117.65379864135176
5.0,4.0,4.0,0.5506792616082782,17.390275012975792,117.65379864135176
7.0,3.0,0.0,0.5459113860519917,17.543350544281132,138.54887588251648
5.0,5.0,3.0,0.5412652472104564,17.695143202364573,110.28028185790696
7.0,3.0,1.0,0.5412652472104563,17.695143202364576,110.28028185790691
6.0,4.0,3.0,0.5323180979610643,17.995009588144345,103.47297209152535
6.0,5.0,0.0,0.5323180979610642,17.99500958814435,103.47297209152535
6.0,5.0,1.0,0.5280077590221384,18.143144834685017,121.60720709051309
7.0,3.0,2.0,0.5280077590221384,18.143144834685017,121.60720709051309
8.0,0.0,0.0,0.519692156509956,18.435964033392594,114.0805597703532
6.0,5.0,2.0,0.5156790296064463,18.580702427580036,91.34420327419585
7.0,4.0,0.0,0.5156790296064462,18.580702427580036,91.34420327419578
8.0,1.0,0.0,0.5156790296064462,18.580702427580036,91.34420327419578
5.0,5.0,4.0,0.5117574591606019,18.724361234582528,107.10611674213301
7.0,4.0,1.0,0.5117574591606018,18.724361234582528,107.10611674213298
8.0,1.0,1.0,0.5117574591606018,18.724361234582528,107.10611674213298
7.0,3.0,3.0,0.5079240159772107,18.86696514095262,85.93137942241702
