h,k,l,multiplicity,d_spacing,2theta,F_obs_squared,F_calc_squared,I_no_scale_pks,I_after_scale_pks,phase
2.00000000,4.00000000,-5.00000000,4.00000000,0.92502244,10.32696300,5192.18980915,5347.22043385,0.00356763,0.43567762,Li4MgWO6_SG12
2.00000000,4.00000000,-4.00000000,4.00000000,1.09408970,8.72778260,10690.40288557,10993.46378408,0.00733477,1.25071190,Li4MgWO6_SG12
2.00000000,4.00000000,-3.00000000,4.00000000,1.30190640,7.33252460,11745.06078082,11691.69249730,0.00780063,1.88196780,Li4MgWO6_SG12
2.00000000,4.00000000,-2.00000000,4.00000000,1.52068710,6.27645180,9573.68951528,8922.68064264,0.00595316,1.96263190,Li4MgWO6_SG12
2.00000000,4.00000000,-1.00000000,4.00000000,1.66033770,5.74807710,9519.48293745,9451.37141153,0.00630590,2.49097360,Li4MgWO6_SG12
2.00000000,4.00000000,0.00000000,4.00000000,1.62023230,5.89048250,16591.58023579,16174.22333553,0.01079134,4.08670450,Li4MgWO6_SG12
2.00000000,4.00000000,1.00000000,4.00000000,1.43300030,6.66093480,11952.27190980,12010.84483600,0.00801356,2.38474260,Li4MgWO6_SG12
2.00000000,4.00000000,2.00000000,4.00000000,1.21188830,7.87800850,7776.80173089,7890.21087981,0.00526430,1.12259190,Li4MgWO6_SG12
2.00000000,4.00000000,3.00000000,4.00000000,1.01920830,9.37039780,6784.59882470,6950.89738725,0.00463760,0.69997822,Li4MgWO6_SG12
2.00000000,4.00000000,4.00000000,4.00000000,0.86635997,11.02831400,7448.12058225,7829.33490429,0.00522369,0.56998934,Li4MgWO6_SG12
2.00000000,4.00000000,5.00000000,4.00000000,0.74747476,12.78916900,5232.67199343,5217.28066772,0.00348094,0.28295179,Li4MgWO6_SG12
2.00000000,4.00000000,6.00000000,4.00000000,0.65439456,14.61758600,3676.61663663,3648.46200625,0.00243423,0.15183069,Li4MgWO6_SG12
2.00000000,6.00000000,-7.00000000,4.00000000,0.65124905,14.68857700,5099.62406301,5096.80824026,0.00340056,0.20739113,Li4MgWO6_SG12
2.00000000,6.00000000,-6.00000000,4.00000000,0.73545655,12.99905200,8707.62564465,8335.45262169,0.00556136,0.43165264,Li4MgWO6_SG12
2.00000000,6.00000000,-5.00000000,4.00000000,0.83693358,11.41733300,5432.87883600,5738.53852287,0.00382872,0.38422968,Li4MgWO6_SG12
2.00000000,6.00000000,-4.00000000,4.00000000,0.95591746,9.99233530,6530.25114330,6844.13542390,0.00456637,0.59732757,Li4MgWO6_SG12
