h,k,l,multiplicity,d_spacing,2theta,sigma_squared,gamma,F_obs_squared,F_calc_squared,phase,I_corr,Prfo,Trans,ExtP
2.00000000,6.00000000,2.00000000,4.00000000,1.03092081,9.26370482,8.04937535,6.65568443,16479.51072769,15783.83930158,0.00000000,0.01053038,1.00000000,1.00000000,1.00000000
4.00000000,4.00000000,-3.00000000,4.00000000,1.03789394,9.20133169,7.95671543,6.61399569,4826.24607681,5284.03717185,0.00000000,0.01067288,1.00000000,1.00000000,1.00000000
1.00000000,5.00000000,-4.00000000,4.00000000,1.02724010,9.29697048,8.09905348,6.67791997,8633.66987581,8354.59496679,-180.00000000,0.01045554,1.00000000,1.00000000,1.00000000
2.00000000,4.00000000,3.00000000,4.00000000,1.01902840,9.37205563,8.21184767,6.72811267,5107.26516071,5345.33269547,0.00000000,0.01028956,1.00000000,1.00000000,1.00000000
4.00000000,2.00000000,-4.00000000,4.00000000,1.02245828,9.34054680,8.16440251,6.70704906,5788.09558523,5953.68313979,0.00000000,0.01035873,1.00000000,1.00000000,1.00000000
2.00000000,0.00000000,-5.00000000,2.00000000,1.01862636,9.37576302,8.21744081,6.73059111,4982.95513825,5220.40292062,0.00000000,0.00514073,1.00000000,1.00000000,1.00000000
3.00000000,7.00000000,-1.00000000,4.00000000,1.01078461,9.44866556,8.32788101,6.77933041,5239.19930769,5226.23251797,-180.00000000,0.01012426,1.00000000,1.00000000,1.00000000
5.00000000,1.00000000,-2.00000000,4.00000000,1.01677048,9.39291466,8.24334579,6.74205744,4802.16991884,5038.62540389,180.00000000,0.01024415,1.00000000,1.00000000,1.00000000
1.00000000,7.00000000,-3.00000000,4.00000000,1.00892924,9.46608083,8.35439189,6.79097426,6354.81896968,6245.25929807,180.00000000,0.01008725,1.00000000,1.00000000,1.00000000
2.00000000,8.00000000,-1.00000000,4.00000000,1.00664327,9.48762642,8.38725878,6.80538004,6007.21870760,5886.09166591,0.00000000,0.01004173,1.00000000,1.00000000,1.00000000
1.00000000,3.00000000,4.00000000,4.00000000,1.00632171,9.49066501,8.39190014,6.80741174,6209.72025020,6088.92293427,-180.00000000,0.01003534,1.00000000,1.00000000,1.00000000
5.00000000,1.00000000,-1.00000000,4.00000000,1.00500054,9.50317001,8.41101699,6.81577307,6357.27465901,6259.82516814,180.00000000,0.01000909,1.00000000,1.00000000,1.00000000
2.00000000,8.00000000,0.00000000,4.00000000,0.99763199,9.57352403,8.51904599,6.86281747,4957.71162135,4833.39030188,0.00000000,0.00986332,1.00000000,1.00000000,1.00000000
0.00000000,8.00000000,2.00000000,4.00000000,0.99673878,9.58212317,8.53230549,6.86856789,4953.23203505,4830.98486625,0.00000000,0.00984572,1.00000000,1.00000000,1.00000000
1.00000000,1.00000000,-5.00000000,4.00000000,0.99955884,9.55502619,8.49056407,6.85044783,6055.93806302,5928.23897064,180.00000000,0.00990133,1.00000000,1.00000000,1.00000000
3.00000000,7.00000000,-2.00000000,4.00000000,0.99118955,9.63589570,8.61549454,6.90452841,7140.68403365,7131.19808561,180.00000000,0.00973675,1.00000000,1.00000000,1.00000000
3.00000000,7.00000000,0.00000000,4.00000000,0.98647041,9.68210224,8.68735625,6.93543152,5004.24629016,5109.17160767,180.00000000,0.00964456,1.00000000,1.00000000,1.00000000
2.00000000,2.00000000,-5.00000000,4.00000000,0.99225012,9.62557203,8.59948659,6.89762420,4874.80219426,4836.58581799,0.00000000,0.00975753,1.00000000,1.00000000,1.00000000
5.00000000,1.00000000,-3.00000000,4.00000000,0.98417349,9.70475297,8.72271084,6.95058121,5262.85518496,5397.35359842,-180.00000000,0.00959985,1.00000000,1.00000000,1.00000000
2.00000000,8.00000000,-2.00000000,4.00000000,0.97272677,9.81923398,8.90268364,7.02715868,6411.24839076,6880.75680443,0.00000000,0.00937858,1.00000000,1.00000000,1.00000000
3.00000000,1.00000000,-5.00000000,4.00000000,0.98075660,9.73864525,8.77576862,6.97325067,5090.91473857,5243.49631120,180.00000000,0.00953353,1.00000000,1.00000000,1.00000000
3.00000000,5.00000000,-4.00000000,4.00000000,0.97669914,9.77920037,8.83950395,7.00037826,4659.95800836,4843.62563215,180.00000000,0.00945507,1.00000000,1.00000000,1.00000000
4.00000000,4.00000000,1.00000000,4.00000000,0.96602453,9.88752837,9.01106906,7.07284795,4509.11478705,4909.37014079,-0.00000000,0.00925022,1.00000000,1.00000000,1.00000000
3.00000000,5.00000000,2.00000000,4.00000000,0.96333560,9.91519612,9.05519603,7.09135919,5257.20146956,5591.36544695,180.00000000,0.00919897,1.00000000,1.00000000,1.00000000
3.00000000,1.00000000,3.00000000,4.00000000,0.96284153,9.92029674,9.06334463,7.09477187,4916.61451862,5209.27609366,180.00000000,0.00918957,1.00000000,1.00000000,1.00000000
5.00000000,3.00000000,-2.00000000,4.00000000,0.96622992,9.88542143,9.00771385,7.07143832,6699.51859787,7306.40685640,180.00000000,0.00925414,1.00000000,1.00000000,1.00000000
4.00000000,6.00000000,-1.00000000,4.00000000,0.96061128,9.94338664,9.10028569,7.11022102,7240.02073109,7565.99291212,0.00000000,0.00914720,1.00000000,1.00000000,1.00000000
1.00000000,9.00000000,0.00000000,4.00000000,0.95569302,9.99468781,9.18267399,7.14454798,7355.14740949,7570.91197168,180.00000000,0.00905410,1.00000000,1.00000000,1.00000000
4.00000000,6.00000000,-2.00000000,4.00000000,0.95702094,9.98078443,9.16030295,7.13524459,5364.57479630,5525.66498114,-0.00000000,0.00907919,1.00000000,1.00000000,1.00000000
5.00000000,3.00000000,-1.00000000,4.00000000,0.95611235,9.99029318,9.17559946,7.14160731,5269.07868916,5422.31131997,180.00000000,0.00906202,1.00000000,1.00000000,1.00000000
5.00000000,1.00000000,0.00000000,4.00000000,0.95312126,10.02172493,9.22626838,7.16264034,6327.88143919,6598.35908400,180.00000000,0.00900561,1.00000000,1.00000000,1.00000000
0.00000000,0.00000000,5.00000000,2.00000000,0.95386671,10.01387287,9.21359546,7.15738592,9133.69697552,9467.84666931,0.00000000,0.00450982,1.00000000,1.00000000,1.00000000
1.00000000,9.00000000,-1.00000000,4.00000000,0.95005763,10.05412472,9.27866730,7.18432226,3874.65656336,4218.56921033,180.00000000,0.00894801,1.00000000,1.00000000,1.00000000
2.00000000,8.00000000,1.00000000,4.00000000,0.94890732,10.06634430,9.29847423,7.19249988,4671.55950058,5196.76422374,0.00000000,0.00892643,1.00000000,1.00000000,1.00000000
2.00000000,6.00000000,-4.00000000,4.00000000,0.95466100,10.00551989,9.20012515,7.15179636,6398.17704750,6603.72262977,0.00000000,0.00903462,1.00000000,1.00000000,1.00000000
1.00000000,3.00000000,-5.00000000,4.00000000,0.95142317,10.03965739,9.25524860,7.17464060,6317.56154792,6723.75157917,180.00000000,0.00897366,1.00000000,1.00000000,1.00000000
4.00000000,0.00000000,2.00000000,2.00000000,0.94510871,10.10690822,9.36440047,7.21964732,4632.15919007,5410.73406452,0.00000000,0.00442768,1.00000000,1.00000000,1.00000000
2.00000000,0.00000000,4.00000000,2.00000000,0.94283560,10.13133889,9.40423645,7.23599843,5228.93440082,6069.17801467,0.00000000,0.00440649,1.00000000,1.00000000,1.00000000
