h,k,l,multiplicity,d_spacing,2theta,F_obs_squared,F_calc_squared,I_no_scale_pks,I_after_scale_pks,phase
1.00000000,5.00000000,-2.00000000,4.00000000,1.44222190,6.61829730,8731.58968849,8569.81124423,0.00577353,1.72508760,Li4MgWO6_SG12
1.00000000,5.00000000,-1.00000000,4.00000000,1.62213670,5.88356070,8936.58434368,8452.62379318,0.00569458,2.15871020,Li4MgWO6_SG12
1.00000000,5.00000000,0.00000000,4.00000000,1.65033000,5.78296340,10801.83458819,10446.91680723,0.00703815,2.77117820,Li4MgWO6_SG12
1.00000000,5.00000000,1.00000000,4.00000000,1.50389170,6.34661810,12275.61754160,11199.63754716,0.00754526,2.47189340,Li4MgWO6_SG12
1.00000000,5.00000000,2.00000000,4.00000000,1.28565920,7.42531660,9266.06578917,9284.27581137,0.00625487,1.49818300,Li4MgWO6_SG12
1.00000000,5.00000000,3.00000000,4.00000000,1.08103920,8.83335420,6132.91530367,6352.80174094,0.00427992,0.72475431,Li4MgWO6_SG12
1.00000000,5.00000000,4.00000000,4.00000000,0.91506555,10.43964200,5230.15325556,5259.75073769,0.00354353,0.43002319,Li4MgWO6_SG12
1.00000000,5.00000000,5.00000000,4.00000000,0.78551207,12.16747300,5150.47948371,5145.81854808,0.00346677,0.31021052,Li4MgWO6_SG12
1.00000000,5.00000000,6.00000000,4.00000000,0.68439472,13.97356000,4929.20055245,4799.05846141,0.00323315,0.21986024,Li4MgWO6_SG12
1.00000000,7.00000000,-6.00000000,4.00000000,0.69453618,13.76852700,4118.75572999,4350.39536796,0.00293089,0.20399461,Li4MgWO6_SG12
1.00000000,7.00000000,-5.00000000,4.00000000,0.78545921,12.16829500,5917.87306382,5910.75289498,0.00398211,0.35405060,Li4MgWO6_SG12
1.00000000,7.00000000,-4.00000000,4.00000000,0.89208232,10.70938000,6059.63095181,5669.90928144,0.00381985,0.43783708,Li4MgWO6_SG12
1.00000000,7.00000000,-3.00000000,4.00000000,1.01008490,9.45522600,5665.37533094,5639.32375708,0.00379925,0.55842992,Li4MgWO6_SG12
1.00000000,7.00000000,-2.00000000,4.00000000,1.12399220,8.49515780,7367.32964504,7146.40951880,0.00481458,0.87727610,Li4MgWO6_SG12
1.00000000,7.00000000,-1.00000000,4.00000000,1.20315350,7.93529360,9637.00118812,9568.86998000,0.00644660,1.34844090,Li4MgWO6_SG12
1.00000000,7.00000000,0.00000000,4.00000000,1.21452350,7.86088860,8353.00235374,8504.13683839,0.00572929,1.22347260,Li4MgWO6_SG12
1.00000000,7.00000000,1.00000000,4.00000000,1.15245940,8.28494570,6573.45561353,6731.27372604,0.00453490,0.87304404,Li4MgWO6_SG12
1.00000000,7.00000000,2.00000000,4.00000000,1.04498130,9.13879270,6219.73740637,6302.18272242,0.00424582,0.67239487,Li4MgWO6_SG12
1.00000000,7.00000000,3.00000000,4.00000000,0.92590053,10.31714300,6360.10115157,6823.39438275,0.00459696,0.57168451,Li4MgWO6_SG12
1.00000000,7.00000000,4.00000000,4.00000000,0.81513277,11.72374700,5764.96280441,5626.12730648,0.00379036,0.36547762,Li4MgWO6_SG12
1.00000000,7.00000000,5.00000000,4.00000000,0.71954710,13.28774700,4017.11698992,4099.49937109,0.00276186,0.20766220,Li4MgWO6_SG12
1.00000000,7.00000000,6.00000000,4.00000000,0.63943564,14.96148200,3212.10695320,3284.69663643,0.00221292,0.13154956,Li4MgWO6_SG12
1.00000000,9.00000000,-6.00000000,4.00000000,0.63405336,15.08922200,3177.76225387,3248.53808842,0.00218856,0.12732058,Li4MgWO6_SG12
1.00000000,9.00000000,-5.00000000,4.00000000,0.70095650,13.64181400,3945.74483769,4035.75799464,0.00271891,0.19312748,Li4MgWO6_SG12
1.00000000,9.00000000,-4.00000000,4.00000000,0.77360474,12.35547800,7601.68700699,7432.43497429,0.00500728,0.43305081,Li4MgWO6_SG12
1.00000000,9.00000000,-3.00000000,4.00000000,0.84682087,11.28359200,12464.63185214,13077.89396830,0.00881065,0.91326189,Li4MgWO6_SG12
1.00000000,9.00000000,-2.00000000,4.00000000,0.91063335,10.49059500,6824.15604923,6927.63324208,0.00466719,0.55988801,Li4MgWO6_SG12
1.00000000,9.00000000,-1.00000000,4.00000000,0.95122878,10.04171400,5961.81459795,6085.90553318,0.00410011,0.53732029,Li4MgWO6_SG12
1.00000000,9.00000000,0.00000000,4.00000000,0.95681790,9.98290780,7829.97081069,8273.50839113,0.00557391,0.73993529,Li4MgWO6_SG12
1.00000000,9.00000000,1.00000000,4.00000000,0.92557553,10.32077500,14221.13379183,15227.12810306,0.01025861,1.27546450,Li4MgWO6_SG12
1.00000000,9.00000000,2.00000000,4.00000000,0.86706882,11.01927000,7755.76634064,7994.89039905,0.00538621,0.58801976,Li4MgWO6_SG12
1.00000000,9.00000000,3.00000000,4.00000000,0.79534904,12.01642700,4503.19569299,4907.62540437,0.00330630,0.30384579,Li4MgWO6_SG12
1.00000000,9.00000000,4.00000000,4.00000000,0.72180306,13.24603000,4404.12214643,4533.86540131,0.00305449,0.23132067,Li4MgWO6_SG12
1.00000000,9.00000000,5.00000000,4.00000000,0.65291110,14.65098000,8000.17892818,8182.53578732,0.00551262,0.34187261,Li4MgWO6_SG12
1.00000000,11.00000000,-5.00000000,4.00000000,0.62583114,15.28864200,2870.36093372,2914.35193693,0.00196342,0.11152314,Li4MgWO6_SG12
1.00000000,11.00000000,-4.00000000,4.00000000,0.67590748,14.14991500,4972.66580440,4910.57640101,0.00330828,0.21910403,Li4MgWO6_SG12
1.00000000,11.00000000,-3.00000000,4.00000000,0.72311114,13.22196200,5276.49658340,5418.37821761,0.00365039,0.27673740,Li4MgWO6_SG12
1.00000000,11.00000000,-2.00000000,4.00000000,0.76163896,12.55036400,4480.77385937,4379.69696896,0.00295063,0.24828410,Li4MgWO6_SG12
1.00000000,11.00000000,-1.00000000,4.00000000,0.78491708,12.17673100,3637.25953690,3624.43480235,0.00244180,0.21838120,Li4MgWO6_SG12
1.00000000,11.00000000,0.00000000,4.00000000,0.78804847,12.12816400,4761.26448834,4856.41831963,0.00327180,0.29518089,Li4MgWO6_SG12
1.00000000,11.00000000,1.00000000,4.00000000,0.77031689,12.40842000,6106.35631347,6034.72788129,0.00406563,0.35071981,Li4MgWO6_SG12
1.00000000,11.00000000,2.00000000,4.00000000,0.73559632,12.99657200,5438.43563861,5312.68284775,0.00357919,0.28171365,Li4MgWO6_SG12
1.00000000,11.00000000,3.00000000,4.00000000,0.69026579,13.85412300,3231.56360014,3262.24568071,0.00219779,0.15240923,Li4MgWO6_SG12
1.00000000,11.00000000,4.00000000,4.00000000,0.64053345,14.93569400,2777.27516262,2814.56902951,0.00189619,0.11330754,Li4MgWO6_SG12
1.00000000,13.00000000,-3.00000000,4.00000000,0.62819890,15.23067500,2827.94835445,2868.57869246,0.00193258,0.11090378,Li4MgWO6_SG12
1.00000000,13.00000000,-2.00000000,4.00000000,0.65296690,14.64972100,3596.66564084,3678.58164732,0.00247828,0.15369442,Li4MgWO6_SG12
1.00000000,13.00000000,-1.00000000,4.00000000,0.66745740,14.32998900,4805.56676972,4883.06779286,0.00328975,0.21327223,Li4MgWO6_SG12
1.00000000,13.00000000,0.00000000,4.00000000,0.66937969,14.28862200,4178.80556366,4117.59844564,0.00277405,0.18097669,Li4MgWO6_SG12
1.00000000,13.00000000,1.00000000,4.00000000,0.65841033,14.52794800,3330.41134919,3243.69250532,0.00218529,0.13801113,Li4MgWO6_SG12
1.00000000,13.00000000,2.00000000,4.00000000,0.63633296,15.03485300,3184.26081445,3292.77047203,0.00221836,0.13093772,Li4MgWO6_SG12
2.00000000,0.00000000,-8.00000000,2.00000000,0.63393515,15.09205200,3388.88780020,3463.25882459,0.00116661,0.06730689,Li4MgWO6_SG12
2.00000000,0.00000000,-7.00000000,2.00000000,0.72710122,13.14908300,7994.38400419,8019.09181658,0.00270125,0.20434632,Li4MgWO6_SG12
2.00000000,0.00000000,-6.00000000,2.00000000,0.85047149,11.23500100,12321.73352577,13059.29443865,0.00439906,0.45377220,Li4MgWO6_SG12
2.00000000,0.00000000,-5.00000000,2.00000000,1.01985670,9.36442730,6256.80301922,6269.94257965,0.00211205,0.31217448,Li4MgWO6_SG12
2.00000000,0.00000000,-4.00000000,2.00000000,1.26169790,7.56653640,7231.30814022,7377.53306585,0.00248514,0.55996816,Li4MgWO6_SG12
2.00000000,0.00000000,-3.00000000,2.00000000,1.61628270,5.90488920,18285.28664026,17300.27769147,0.00582765,2.14569230,Li4MgWO6_SG12
2.00000000,0.00000000,-2.00000000,2.00000000,2.10697150,4.52888490,46186.96606642,43594.03662642,0.01468478,9.16255650,Li4MgWO6_SG12
2.00000000,0.00000000,-1.00000000,2.00000000,2.53524170,3.76353170,14747.13840163,17437.28701210,0.00587380,5.33875830,Li4MgWO6_SG12
2.00000000,0.00000000,0.00000000,2.00000000,2.39894110,3.97744790,7664.38025338,8039.53175533,0.00270814,2.23910520,Li4MgWO6_SG12
2.00000000,0.00000000,1.00000000,2.00000000,1.89048260,5.04782930,12754.12277851,13424.04475435,0.00452193,2.34265240,Li4MgWO6_SG12
2.00000000,0.00000000,2.00000000,2.00000000,1.45293770,6.56943150,29870.48784797,28849.61697806,0.00971808,2.97986510,Li4MgWO6_SG12
2.00000000,0.00000000,3.00000000,2.00000000,1.15052060,8.29893160,12769.86692085,12939.75410924,0.00435879,0.83823318,Li4MgWO6_SG12
2.00000000,0.00000000,4.00000000,2.00000000,0.94277781,10.13196200,6298.58728397,6467.01982264,0.00217843,0.28134775,Li4MgWO6_SG12
2.00000000,0.00000000,5.00000000,2.00000000,0.79491661,12.02298800,4229.35249564,4587.33596752,0.00154526,0.14196033,Li4MgWO6_SG12
2.00000000,0.00000000,6.00000000,2.00000000,0.68553003,13.95030400,8656.85670631,8404.14556121,0.00283096,0.19362388,Li4MgWO6_SG12
2.00000000,2.00000000,-8.00000000,4.00000000,0.62743864,15.24923900,3908.41294793,3965.07758158,0.00267130,0.15105058,Li4MgWO6_SG12
2.00000000,2.00000000,-7.00000000,4.00000000,0.71734600,13.32870300,4766.91386737,4799.43532609,0.00323341,0.23823026,Li4MgWO6_SG12
2.00000000,2.00000000,-6.00000000,4.00000000,0.83497467,11.44420800,4766.73187590,4913.62712126,0.00331034,0.32940895,Li4MgWO6_SG12
2.00000000,2.00000000,-5.00000000,4.00000000,0.99344777,9.61394070,5848.99372970,5799.91103918,0.00390743,0.54867589,Li4MgWO6_SG12
2.00000000,2.00000000,-4.00000000,4.00000000,1.21269340,7.87276980,7994.16660114,8112.39503826,0.00546537,1.13984860,Li4MgWO6_SG12
2.00000000,2.00000000,-3.00000000,4.00000000,1.51691180,6.29208820,11937.84031761,10888.59066953,0.00733571,2.38683140,Li4MgWO6_SG12
2.00000000,2.00000000,-2.00000000,4.00000000,1.89984090,5.02294850,11063.06890623,11590.63468924,0.00780868,3.98294850,Li4MgWO6_SG12
2.00000000,2.00000000,-1.00000000,4.00000000,2.19593020,4.34532660,11074.33662614,11190.72434189,0.00753926,5.17013680,Li4MgWO6_SG12
2.00000000,2.00000000,0.00000000,4.00000000,2.10556720,4.53190700,11768.28955006,11080.92444004,0.00746529,4.76269980,Li4MgWO6_SG12
